epoch,model_name,mAP50,mAP50_95,precision,recall,f1_score,loss,inference_time_ms,fps
-1,RT-DETR,0,0,0,0,0,0,13642.83037185669,0.07329857315113032
-1,RT-DETR,0,0,0,0,0,0,251.94811820983887,3.969071121091425
-1,RT-DETR,0,0,0,0,0,0,124.87459182739258,8.008034183465009
-1,RT-DETR,0,0,0,0,0,0,77.23331451416016,12.94778045317034
-1,RT-DETR,0,0,0,0,0,0,84.34581756591797,11.855952421333514
-1,RT-DETR,0,0,0,0,0,0,69.16141510009766,14.458929137766992
-1,RT-DETR,0,0,0,0,0,0,81.4211368560791,12.281823106543095
-1,RT-DETR,0,0,0,0,0,0,90.5613899230957,11.042233349655909
-1,RT-DETR,0,0,0,0,0,0,85.98446846008301,11.63000734794604
-1,RT-DETR,0,0,0,0,0,0,75.78587532043457,13.19507092544413
-1,RT-DETR,0,0,0,0,0,0,65.95897674560547,15.160938652169513
-1,RT-DETR,0,0,0,0,0,0,83.4801197052002,11.978899928885792
-1,RT-DETR,0,0,0,0,0,0,78.4149169921875,12.75267561782448
-1,RT-DETR,0,0,0,0,0,0,76.31492614746094,13.103596510959486
-1,RT-DETR,0,0,0,0,0,0,68.34197044372559,14.632296866878077
-1,RT-DETR,0,0,0,0,0,0,99.70736503601074,10.029349382955168
-1,RT-DETR,0,0,0,0,0,0,70.3582763671875,14.21296898720451
-1,RT-DETR,0,0,0,0,0,0,86.58623695373535,11.549179583059127
-1,RT-DETR,0,0,0,0,0,0,82.89933204650879,12.062823370385816
-1,RT-DETR,0,0,0,0,0,0,63.47846984863281,15.753372795288604
-1,RT-DETR,0,0,0,0,0,0,66.9405460357666,14.938629264626792
-1,RT-DETR,0,0,0,0,0,0,63.803911209106445,15.673020368965632
-1,RT-DETR,0,0,0,0,0,0,79.57839965820312,12.566224054455683
-1,RT-DETR,0,0,0,0,0,0,67.67845153808594,14.775751768452498
-1,RT-DETR,0,0,0,0,0,0,81.74467086791992,12.233213362810693
-1,RT-DETR,0,0,0,0,0,0,65.08350372314453,15.364876547732434
-1,RT-DETR,0,0,0,0,0,0,73.5318660736084,13.599546066177066
-1,RT-DETR,0,0,0,0,0,0,64.11862373352051,15.596092707105488
-1,RT-DETR,0,0,0,0,0,0,97.57614135742188,10.248406896282106
-1,RT-DETR,0,0,0,0,0,0,82.84187316894531,12.071190108903368
-1,RT-DETR,0,0,0,0,0,0,64.37540054321289,15.533883930224807
-1,RT-DETR,0,0,0,0,0,0,64.8033618927002,15.431298173322787
-1,RT-DETR,0,0,0,0,0,0,77.31032371520996,12.934883104146943
-1,RT-DETR,0,0,0,0,0,0,66.86091423034668,14.956421274092035
-1,RT-DETR,0,0,0,0,0,0,61.22565269470215,16.333023103672524
-1,RT-DETR,0,0,0,0,0,0,71.00939750671387,14.082643074185372
-1,RT-DETR,0,0,0,0,0,0,74.20682907104492,13.475848685605598
-1,RT-DETR,0,0,0,0,0,0,72.76296615600586,13.74325502146204
-1,RT-DETR,0,0,0,0,0,0,76.53450965881348,13.066001264762047
-1,RT-DETR,0,0,0,0,0,0,68.50385665893555,14.59771827123198
-1,RT-DETR,0,0,0,0,0,0,63.68589401245117,15.702064256246302
-1,RT-DETR,0,0,0,0,0,0,72.48282432556152,13.796371889544924
-1,RT-DETR,0,0,0,0,0,0,73.24790954589844,13.65226674999349
-1,RT-DETR,0,0,0,0,0,0,73.3180046081543,13.639214615079442
-1,RT-DETR,0,0,0,0,0,0,77.12912559509277,12.965270801198134
-1,RT-DETR,0,0,0,0,0,0,71.76542282104492,13.93428702417892
-1,RT-DETR,0,0,0,0,0,0,81.18844032287598,12.317024394398128
-1,RT-DETR,0,0,0,0,0,0,63.700199127197266,15.69853805328283
-1,RT-DETR,0,0,0,0,0,0,63.338518142700195,15.788181178268545
-1,RT-DETR,0,0,0,0,0,0,67.9166316986084,14.723933961237508
-1,RT-DETR,0,0,0,0,0,0,61.63215637207031,16.225296320366414
-1,RT-DETR,0,0,0,0,0,0,64.74518775939941,15.445163333468356
-1,RT-DETR,0,0,0,0,0,0,62.341928482055664,16.040568913228878
-1,RT-DETR,0,0,0,0,0,0,73.12846183776855,13.674566302494434
-1,RT-DETR,0,0,0,0,0,0,67.15059280395508,14.891901295934671
-1,RT-DETR,0,0,0,0,0,0,72.76010513305664,13.743795424309747
-1,RT-DETR,0,0,0,0,0,0,62.68882751464844,15.95180576261904
-1,RT-DETR,0,0,0,0,0,0,65.15288352966309,15.348514844238869
-1,RT-DETR,0,0,0,0,0,0,70.82605361938477,14.119098112877273
-1,RT-DETR,0,0,0,0,0,0,63.3695125579834,15.7804590825122
-1,RT-DETR,0,0,0,0,0,0,61.86556816101074,16.164080113148067
-1,RT-DETR,0,0,0,0,0,0,72.30114936828613,13.831038769608215
-1,RT-DETR,0,0,0,0,0,0,75.82449913024902,13.18834956340734
-1,RT-DETR,0,0,0,0,0,0,76.57289505004883,13.059451380888627
-1,RT-DETR,0,0,0,0,0,0,66.97654724121094,14.930599458920689
