epoch,model_name,mAP50,mAP50_95,precision,recall,f1_score,loss,inference_time_ms,fps
-1,YOLOv8,0,0,0,0,0,0,699.9733000993729,1.4286259202430054
-1,YOLOv8,0,0,0,0,0,0,22.48180005699396,44.48042405256182
-1,YOLOv8,0,0,0,0,0,0,17.984800040721893,55.602508659299
-1,YOLOv8,0,0,0,0,0,0,20.704300026409328,48.29914552650667
-1,YOLOv8,0,0,0,0,0,0,25.18290001899004,39.70948537483432
-1,YOLOv8,0,0,0,0,0,0,16.150099923834205,61.91912153584926
-1,YOLOv8,0,0,0,0,0,0,37.23150002770126,26.85897692158448
-1,YOLOv8,0,0,0,0,0,0,18.24749994557351,54.802027838481
-1,YOLOv8,0,0,0,0,0,0,21.080499980598688,47.437205043539954
-1,YOLOv8,0,0,0,0,0,0,18.560399999842048,53.87814917827796
-1,YOLOv8,0,0,0,0,0,0,17.655899981036782,56.63829094376635
-1,YOLOv8,0,0,0,0,0,0,17.109899898059666,58.44569553053926
-1,YOLOv8,0,0,0,0,0,0,18.11689999885857,55.1970811818249
-1,YOLOv8,0,0,0,0,0,0,18.299999996088445,54.644808754849514
-1,YOLOv8,0,0,0,0,0,0,15.552899916656315,64.29669099388045
-1,YOLOv8,0,0,0,0,0,0,21.282100002281368,46.987844239656965
-1,YOLOv8,0,0,0,0,0,0,14.999200007878244,66.67022237684381
-1,YOLOv8,0,0,0,0,0,0,33.4301000693813,29.913162028369225
-1,YOLOv8,0,0,0,0,0,0,16.696600010618567,59.892433151900875
-1,YOLOv8,0,0,0,0,0,0,14.742800034582615,67.82972011112346
-1,YOLOv8,0,0,0,0,0,0,14.873000094667077,67.23593045350441
-1,YOLOv8,0,0,0,0,0,0,14.858099981211126,67.30335650349333
-1,YOLOv8,0,0,0,0,0,0,17.814000020734966,56.135623601438745
-1,YOLOv8,0,0,0,0,0,0,17.690700013190508,56.526875660905546
-1,YOLOv8,0,0,0,0,0,0,14.915000065229833,67.04659709195855
-1,YOLOv8,0,0,0,0,0,0,19.359600031748414,51.65395970784875
-1,YOLOv8,0,0,0,0,0,0,20.060300012119114,49.84970311490186
-1,YOLOv8,0,0,0,0,0,0,16.54199999757111,60.45218233265818
-1,YOLOv8,0,0,0,0,0,0,15.391399967484176,64.97134777295092
-1,YOLOv8,0,0,0,0,0,0,13.845200068317354,72.22719751723551
-1,YOLOv8,0,0,0,0,0,0,23.696199990808964,42.20085922586194
-1,YOLOv8,0,0,0,0,0,0,19.323999993503094,51.74912028235403
-1,YOLOv8,0,0,0,0,0,0,14.585600001737475,68.56077226037169
-1,YOLOv8,0,0,0,0,0,0,13.991400017403066,71.4724758606115
-1,YOLOv8,0,0,0,0,0,0,16.37170009780675,61.08101138097233
-1,YOLOv8,0,0,0,0,0,0,33.43830001540482,29.90582653840973
-1,YOLOv8,0,0,0,0,0,0,16.531200031749904,60.49167622915427
-1,YOLOv8,0,0,0,0,0,0,13.94599990453571,71.70514892049914
-1,YOLOv8,0,0,0,0,0,0,20.573099958710372,48.607161876769744
-1,YOLOv8,0,0,0,0,0,0,15.35250002052635,65.13597125308557
-1,YOLOv8,0,0,0,0,0,0,26.743700029328465,37.39198386548423
-1,YOLOv8,0,0,0,0,0,0,33.15210004802793,30.164001633419463
-1,YOLOv8,0,0,0,0,0,0,16.50799997150898,60.57669019420231
-1,YOLOv8,0,0,0,0,0,0,20.48609999474138,48.81358580972914
-1,YOLOv8,0,0,0,0,0,0,14.625300071202219,68.37466548594368
-1,YOLOv8,0,0,0,0,0,0,22.614200017414987,44.22000332666684
-1,YOLOv8,0,0,0,0,0,0,16.23680000193417,61.588490335588126
-1,YOLOv8,0,0,0,0,0,0,15.273199998773634,65.47416390018432
-1,YOLOv8,0,0,0,0,0,0,16.34370000101626,61.1856556310884
-1,YOLOv8,0,0,0,0,0,0,16.31570002064109,61.290658613169775
-1,YOLOv8,0,0,0,0,0,0,14.220200013369322,70.32249891420908
-1,YOLOv8,0,0,0,0,0,0,15.60869999229908,64.066834553382
-1,YOLOv8,0,0,0,0,0,0,14.979899977333844,66.75611996829782
-1,YOLOv8,0,0,0,0,0,0,25.097900070250034,39.843970898001814
-1,YOLOv8,0,0,0,0,0,0,15.974099980667233,62.601335988272076
-1,YOLOv8,0,0,0,0,0,0,16.093899961560965,62.13534335297365
-1,YOLOv8,0,0,0,0,0,0,16.087000025436282,62.16199405848387
-1,YOLOv8,0,0,0,0,0,0,14.237200026400387,70.23852991779813
-1,YOLOv8,0,0,0,0,0,0,14.785200008191168,67.63520273286724
-1,YOLOv8,0,0,0,0,0,0,28.70149991940707,34.84138469445741
-1,YOLOv8,0,0,0,0,0,0,23.191199987195432,43.11980408741809
-1,YOLOv8,0,0,0,0,0,0,16.285299905575812,61.40507118678342
-1,YOLOv8,0,0,0,0,0,0,15.97019995097071,62.616623653432555
-1,YOLOv8,0,0,0,0,0,0,15.909799956716597,62.85434152035536
-1,YOLOv8,0,0,0,0,0,0,13.805500115267932,72.43489852961349
-1,YOLOv8,0,0,0,0,0,0,22.808099980466068,43.844072976549874
-1,YOLOv8,0,0,0,0,0,0,16.918599954806268,59.1065456167322
-1,YOLOv8,0,0,0,0,0,0,16.440400038845837,60.82577051879346
-1,YOLOv8,0,0,0,0,0,0,20.531699992716312,48.705172993700145
-1,YOLOv8,0,0,0,0,0,0,28.21300004143268,35.44465312201584
-1,YOLOv8,0,0,0,0,0,0,24.108099984005094,41.47983460594016
-1,YOLOv8,0,0,0,0,0,0,20.208400092087686,49.48437260956328
-1,YOLOv8,0,0,0,0,0,0,17.763399984687567,56.295529057614054
-1,YOLOv8,0,0,0,0,0,0,16.340999980457127,61.19576532623102
-1,YOLOv8,0,0,0,0,0,0,16.986300004646182,58.87097247349186
-1,YOLOv8,0,0,0,0,0,0,14.32269997894764,69.81923809546103
-1,YOLOv8,0,0,0,0,0,0,18.39430001564324,54.3646672691845
-1,YOLOv8,0,0,0,0,0,0,17.326400033198297,57.71539373926189
-1,YOLOv8,0,0,0,0,0,0,23.108200053684413,43.27468161418129
-1,YOLOv8,0,0,0,0,0,0,13.977100024931133,71.54559946028054
-1,YOLOv8,0,0,0,0,0,0,16.141499974764884,61.952111115036935
-1,YOLOv8,0,0,0,0,0,0,16.321599949151278,61.26850327880999
-1,YOLOv8,0,0,0,0,0,0,16.203099978156388,61.716585181114304
-1,YOLOv8,0,0,0,0,0,0,14.531799941323698,68.81459998333216
-1,YOLOv8,0,0,0,0,0,0,14.105700072832406,70.89332644510152
-1,YOLOv8,0,0,0,0,0,0,16.599300084635615,60.243503936988546
-1,YOLOv8,0,0,0,0,0,0,19.63679993059486,50.92479444382192
-1,YOLOv8,0,0,0,0,0,0,17.96149997971952,55.67463748178651
-1,YOLOv8,0,0,0,0,0,0,17.040499951690435,58.68372423549692
-1,YOLOv8,0,0,0,0,0,0,15.672000008635223,63.80806530430086
-1,YOLOv8,0,0,0,0,0,0,14.181000064127147,70.5168884759857
-1,YOLOv8,0,0,0,0,0,0,24.090399965643883,41.510311220491694
-1,YOLOv8,0,0,0,0,0,0,16.69640000909567,59.89315058666729
-1,YOLOv8,0,0,0,0,0,0,13.77449999563396,72.59791646280921
-1,YOLOv8,0,0,0,0,0,0,22.974399966187775,43.526708052081226
-1,YOLOv8,0,0,0,0,0,0,18.16880004480481,55.03940808055401
-1,YOLOv8,0,0,0,0,0,0,14.61159996688366,68.43877482729077
-1,YOLOv8,0,0,0,0,0,0,23.33360002376139,42.85665302317972
-1,YOLOv8,0,0,0,0,0,0,20.246399915777147,49.391496965381144
-1,YOLOv8,0,0,0,0,0,0,15.190199948847294,65.8319181687852
-1,YOLOv8,0,0,0,0,0,0,14.974799938499928,66.7788554175618
-1,YOLOv8,0,0,0,0,0,0,14.319100067950785,69.83679108704703
-1,YOLOv8,0,0,0,0,0,0,15.775699983350933,63.388629414565536
-1,YOLOv8,0,0,0,0,0,0,14.424899942241609,69.32457098517672
-1,YOLOv8,0,0,0,0,0,0,23.891500080935657,41.85589002835176
-1,YOLOv8,0,0,0,0,0,0,16.526999999769032,60.507049072062394
-1,YOLOv8,0,0,0,0,0,0,15.829700045287609,63.1723909574454
-1,YOLOv8,0,0,0,0,0,0,16.621500020846725,60.16304176793897
-1,YOLOv8,0,0,0,0,0,0,14.020800008438528,71.32260637040271
-1,YOLOv8,0,0,0,0,0,0,30.430300044827163,32.86198290936634
-1,YOLOv8,0,0,0,0,0,0,22.77049992699176,43.9164710132085
-1,YOLOv8,0,0,0,0,0,0,15.98360005300492,62.56412802396164
-1,YOLOv8,0,0,0,0,0,0,16.240800032392144,61.573321388448115
-1,YOLOv8,0,0,0,0,0,0,24.99299996998161,40.01120318493466
-1,YOLOv8,0,0,0,0,0,0,14.175000018440187,70.54673712162997
